2022-01-20 08:50:00,LbAX5gkD8,【#对话流调中最辛苦的人#：来北京找儿子，凌晨打零工补贴家用】#无症状感染者岳某谈来京寻子#1月18日，北京市朝阳区发现一例核酸检测阳性人员，后经进一步检查和专家会诊，诊断为新冠病毒无症状感染者。该无症状感染者岳某，1978年生。他告诉@中国新闻周刊，他本在山东威海捕鱼船做船员，2020年8展开c
2022-01-26 11:40:00,LcwD3yIg8,皇城根下最辛苦的流调……视频链接：O他试图在众生中尽力为人...#疫情##对话流调中最辛苦的人##随手拍#
2022-02-07 23:04:00,LeqetuI06,昨天上了人生当中的第一个夜班小时候，爸妈上夜班，都没有陪过的人经历了第一次晚八点到凌晨四点的班可以证实的是，原来紧急情况下的流调员真的凌晨四点都要打电话给你的排查了进出百货店、桌球馆、核酸检测点、菜市场等密接，确认你的隔离情况不禁感叹他们的生活真丰富多彩看到又有新展开c
2022-02-16 11:09:00,LfIoJcxrA,#对话流调中最辛苦的人#南通警方提醒，这些电话一定要接！
2022-02-17 22:25:00,LfWfJ9QgY,没有这么一个饼我真的很难撑到这个时候#对话流调中最辛苦的人#怕是公安一马当先
2022-02-20 10:50:00,LgjZ7iW7r,【#对话流调中最辛苦的人#】【#深圳社区流调员的战疫日常#】90后大栗是一名深圳基层#流调#员。每天早晨一睁眼，大栗就要死死地盯着政务微信群，给从外地返深的居民打电话，询问他们的#核酸#情况。这一打，也许就得打到晚上12点，一天要打300个核查电话，周末有时也要“连轴转”地录入数据……展开c
2022-03-01 09:17:00,LhGdKqpVE,#疫情速报##对话流调中最辛苦的人#【#2月28日新增75例本土确诊#，其中#广东昨日新增本土确诊31例#】2月28日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例200例。其中境外输入病例125例（广东44例，上海40例，北京12例，广西8例，重庆4例，云南4例，福建3例，山东3例，江苏2例展开c
2022-03-06 07:57:00,LiqPz7MCW,#对话流调中最辛苦的人#
2022-03-08 11:17:00,LiL06o2qt,2022年3月8日#威海##威海新冠疫情#：本土2例确诊，14例无症状感染者，加油威海！#对话流调中最辛苦的人#
2022-03-14 21:42:00,LjJEDiotv,如此生活30年，直到大厦崩塌。#对话流调中最辛苦的人#
2022-03-17 10:40:00,Lk7BwhAHZ,#对话流调中最辛苦的人#大家只看到了文字，但又有多少人知道写字的人，为此付出多大的代价……没有了真实的文字，丛林世界里，只会有更多的“铁链女”、“铁笼女”……#官方通报徐州丰县生育八孩女子情况#
2022-03-26 18:48:00,LlxE1BVLS,#对话流调中最辛苦的人#
2022-04-04 19:08:00,LmUCpsXCT,疾控流调人员，真的非常不容易！请大家积极配合他们的工作#太原身边事##太原疫情##对话流调中最辛苦的人#2太原
2022-04-13 23:47:00,Loji4aRKr,#退休的柳传志年薪约1亿元##对话流调中最辛苦的人##建议拐卖妇女儿童罪最高调至死刑#//@天涯_筱语:上海为什么会变成这个样子啊？
